                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                      29                  2.2131490575337108E+002                  1.9939330028701547E-007                  6.9953284765523049E-001                  0.0000000000000000E+000                  2.1288183631244199E+004 
                                      30                  2.2242852727003429E+002                  1.9939295186804707E-007                  7.1727155120993547E-001                  0.0000000000000000E+000                  2.2076601114889927E+004 
                                      31                  2.2400342546489298E+002                  1.9939221093525771E-007                  7.5562525388075685E-001                  0.0000000000000000E+000                  2.3174238582400678E+004 
                                      32                  2.2568004210476030E+002                  1.9939142277485185E-007                  7.9736141706198382E-001                  0.0000000000000000E+000                  2.4329581329285309E+004 
                                      33                  2.2745824586390123E+002                  1.9939058687758939E-007                  8.4263478634727196E-001                  0.0000000000000000E+000                  2.5545641841829711E+004 
                                      34                  2.2934006419355055E+002                  1.9938970172568991E-007                  8.9164719887384336E-001                  0.0000000000000000E+000                  2.6825589256515523E+004 
                                      35                  2.3133103880363765E+002                  1.9938876429490194E-007                  9.4470491526720846E-001                  0.0000000000000000E+000                  2.8172757601386696E+004 
                                      36                  2.3343911372502873E+002                  1.9938777038207030E-007                  1.0022525174480890E+000                  0.0000000000000000E+000                  2.9590654540110347E+004 
                                      37                  2.3567238160271575E+002                  1.9938671556094874E-007                  1.0647993600616348E+000                  0.0000000000000000E+000                  3.1082970630203345E+004 
                                      38                  2.3803791828105616E+002                  1.9938559563717585E-007                  1.1328889297709193E+000                  0.0000000000000000E+000                  3.2653589112237583E+004 
                                      39                  2.4054061730680053E+002                  1.9938440691134138E-007                  1.2070718178034354E+000                  0.0000000000000000E+000                  3.4306596215671787E+004 
                                      40                  2.4318250317458316E+002                  1.9938314644918475E-007                  1.2878629087927338E+000                  0.0000000000000000E+000                  3.6046291909707696E+004 
                                      41                  2.4596388665105005E+002                  1.9938181175538857E-007                  1.3757331478778325E+000                  0.0000000000000000E+000                  3.7877201092199422E+004 
                                      42                  2.4888490732968435E+002                  1.9938040008495330E-007                  1.4711795423554488E+000                  0.0000000000000000E+000                  3.9804085337510689E+004 
                                      43                  2.5194605415476272E+002                  1.9937890818130913E-007                  1.5747478206073069E+000                  0.0000000000000000E+000                  4.1831955315373256E+004 
                                      44                  2.5514855425814613E+002                  1.9937733215354829E-007                  1.6870506744096980E+000                  0.0000000000000000E+000                  4.3966083903767692E+004 
                                      45                  2.5849474331450483E+002                  1.9937566735934426E-007                  1.8087893189968394E+000                  0.0000000000000000E+000                  4.6212020041474258E+004 
                                      46                  2.6198847426136462E+002                  1.9937390827389743E-007                  1.9407783833190977E+000                  0.0000000000000000E+000                  4.8575603437900274E+004 
                                      47                  2.6563562261617483E+002                  1.9937204832081072E-007                  2.0839803742357019E+000                  0.0000000000000000E+000                  5.1062980235959665E+004 
                                      48                  2.6944468918001309E+002                  1.9937007966791114E-007                  2.2395510033629633E+000                  0.0000000000000000E+000                  5.3680619622508304E+004 
                                      49                  2.7342754615898031E+002                  1.9936799297129447E-007                  2.4088993152199496E+000                  0.0000000000000000E+000                  5.6435331393352608E+004 
                                      50                  2.7760032219821215E+002                  1.9936577704001463E-007                  2.5937693767432637E+000                  0.0000000000000000E+000                  5.9334284608796152E+004 
                                      51                  2.8185814794152469E+002                  1.9936341858808448E-007                  2.7963456340538428E+000                  0.0000000000000000E+000                  6.2385027537481546E+004 
                                      52                  2.8618002638567447E+002                  1.9936090753386900E-007                  3.0191768276022666E+000                  0.0000000000000000E+000                  6.5595503882071687E+004 
                                      53                  2.9056675067338955E+002                  1.9935823415066213E-007                  3.2649564882035675E+000                  0.0000000000000000E+000                  6.8974072602441578E+004 
                                      54                  2.9501917071895019E+002                  1.9935538813408445E-007                  3.5364652305216104E+000                  0.0000000000000000E+000                  7.2529529641275221E+004 
                                      55                  2.9953827944140215E+002                  1.9935235853734462E-007                  3.8365006544674549E+000                  0.0000000000000000E+000                  7.6271130967760066E+004 
                                      56                  3.0412526410498373E+002                  1.9934913370270936E-007                  4.1677787851540646E+000                  0.0000000000000000E+000                  8.0208616974852193E+004 
                                      57                  3.0878145129406528E+002                  1.9934570122960018E-007                  4.5328143643236443E+000                  0.0000000000000000E+000                  8.4352238086901823E+004 
                                      58                  3.1350820501699485E+002                  1.9934204796487418E-007                  4.9340734253811309E+000                  0.0000000000000000E+000                  8.8712781526612205E+004 
                                      59                  3.1830689927244708E+002                  1.9933815995645698E-007                  5.3742809898306163E+000                  0.0000000000000000E+000                  9.3301599387340058E+004 
                                      60                  3.2317892378834051E+002                  1.9933402234131100E-007                  5.8565050618330474E+000                  0.0000000000000000E+000                  9.8130638017305115E+004 
                                      61                  3.2812561181230762E+002                  1.9932961924829195E-007                  6.3842400002412312E+000                  0.0000000000000000E+000                  1.0321246863932459E+005 
                                      62                  3.3314815076533807E+002                  1.9932493377028807E-007                  6.9615066236110863E+000                  0.0000000000000000E+000                  1.0856031921478799E+005 
                                      63                  3.3824758052190310E+002                  1.9931994797297402E-007                  7.5929725477669576E+000                  0.0000000000000000E+000                  1.1418810787024831E+005 
                                      64                  3.4342489374456989E+002                  1.9931464286711918E-007                  8.2840974713492486E+000                  0.0000000000000000E+000                  1.2011047829611975E+005 
                                      65                  3.4868111832913854E+002                  1.9930899832657466E-007                  9.0413096242006201E+000                  0.0000000000000000E+000                  1.2634283707728455E+005 
                                      66                  3.5401732808084489E+002                  1.9930299298837132E-007                  9.8722216260387032E+000                  0.0000000000000000E+000                  1.3290139302154980E+005 
                                      67                  3.5943463057285578E+002                  1.9929660417421483E-007                  1.0785896468768630E+001                  0.0000000000000000E+000                  1.3980319893948839E+005 
                                      68                  3.6493413970179216E+002                  1.9928980786171112E-007                  1.1793178133794260E+001                  0.0000000000000000E+000                  1.4706619608835870E+005 
                                      69                  3.7051697975138518E+002                  1.9928257868938217E-007                  1.2907105864818217E+001                  0.0000000000000000E+000                  1.5470926104346992E+005 
                                      70                  3.7618436108667493E+002                  1.9927488986755921E-007                  1.4143436711538261E+001                  0.0000000000000000E+000                  1.6275225497871998E+005 
                                      71                  3.8193765921169205E+002                  1.9926671296785073E-007                  1.5521309522230686E+001                  0.0000000000000000E+000                  1.7121607564123670E+005 
                                      72                  3.8777839680723167E+002                  1.9925801774294809E-007                  1.7064096278253981E+001                  0.0000000000000000E+000                  1.8012271204185384E+005 
                                      73                  3.9370812074343934E+002                  1.9924877207961433E-007                  1.8800503639378729E+001                  0.0000000000000000E+000                  1.8949530174013396E+005 
                                      74                  3.9972831745959070E+002                  1.9923894201881639E-007                  2.0766008555713469E+001                  0.0000000000000000E+000                  1.9935819086818150E+005 
                                      75                  4.0584043143550798E+002                  1.9922849162813800E-007                  2.3004729306142103E+001                  0.0000000000000000E+000                  2.0973699704399356E+005 
                                      76                  4.1204589174975320E+002                  1.9921738278370973E-007                  2.5570663921261513E+001                  0.0000000000000000E+000                  2.2065867506668720E+005 
                                      77                  4.1834610964636732E+002                  1.9920557497466653E-007                  2.8527572549820686E+001                  0.0000000000000000E+000                  2.3215158561439134E+005 
                                      78                  4.2474248181774828E+002                  1.9919302521814022E-007                  3.1950199083765767E+001                  0.0000000000000000E+000                  2.4424556754509080E+005 
                                      79                  4.3123645634237857E+002                  1.9917968790451484E-007                  3.5925687369222061E+001                  0.0000000000000000E+000                  2.5697201444501229E+005 
                                      80                  4.3782959128677697E+002                  1.9916551453487575E-007                  4.0554912211653829E+001                  0.0000000000000000E+000                  2.7036395554862358E+005 
                                      81                  4.4452355135312263E+002                  1.9915045351034276E-007                  4.5953610407125424E+001                  0.0000000000000000E+000                  2.8445614100478578E+005 
                                      82                  4.5132008186098994E+002                  1.9913445002063473E-007                  5.2253144669222948E+001                  0.0000000000000000E+000                  2.9928513193481718E+005 
                                      83                  4.5822099282396982E+002                  1.9911744600716039E-007                  5.9600679615755631E+001                  0.0000000000000000E+000                  3.1488939545450744E+005 
                                      84                  4.6522814206116334E+002                  1.9909937996300544E-007                  6.8158466326302218E+001                  0.0000000000000000E+000                  3.3130940483546595E+005 
                                      85                  4.7234336715744928E+002                  1.9908018679962326E-007                  7.8101939334865222E+001                  0.0000000000000000E+000                  3.4858774462372187E+005 
                                      86                  4.7956843067116824E+002                  1.9905979784143275E-007                  8.9616305503972299E+001                  0.0000000000000000E+000                  3.6676922080307890E+005 
                                      87                  4.8690502256792553E+002                  1.9903814066580960E-007                  1.0289127118465888E+002                  0.0000000000000000E+000                  3.8590097643839620E+005 
                                      88                  4.9435477276013955E+002                  1.9901513883571734E-007                  1.1811360840534574E+002                  0.0000000000000000E+000                  4.0603261300369422E+005 
                                      89                  5.0191926394061170E+002                  1.9899071152961169E-007                  1.3545736290039201E+002                  0.0000000000000000E+000                  4.2721631813384558E+005 
                                      90                  5.0960003484900790E+002                  1.9896477321386799E-007                  1.5507180928869079E+002                  0.0000000000000000E+000                  4.4950699958404235E+005 
                                      91                  5.1739854765173482E+002                  1.9893723333082569E-007                  1.7707732696309759E+002                  0.0000000000000000E+000                  4.7296242522575107E+005 
                                      92                  5.2531613970047363E+002                  1.9890799601584410E-007                  2.0158768123219858E+002                  0.0000000000000000E+000                  4.9764336941926420E+005 
                                      93                  5.3335403548722434E+002                  1.9887695992140241E-007                  2.2871973939625911E+002                  0.0000000000000000E+000                  5.2361376676346373E+005 
                                      94                  5.4151348275408986E+002                  1.9884401778801766E-007                  2.5860018001768361E+002                  0.0000000000000000E+000                  5.5094087395068584E+005 
                                      95                  5.4979583661561207E+002                  1.9880905594312087E-007                  2.9137362056106207E+002                  0.0000000000000000E+000                  5.7969543945282872E+005 
                                      96                  5.5820252590057748E+002                  1.9877195459074298E-007                  3.2721219110543711E+002                  0.0000000000000000E+000                  6.0995188221373956E+005 
                                      97                  5.6673522207848703E+002                  1.9873258779378784E-007                  3.6632673107703135E+002                  0.0000000000000000E+000                  6.4178848225076566E+005 
                                      98                  5.7539613377873707E+002                  1.9869082195543924E-007                  4.0897994905829205E+002                  0.0000000000000000E+000                  6.7528758468092023E+005 
                                      99                  5.8418806052696038E+002                  1.9864651396302445E-007                  4.5550219488346033E+002                  0.0000000000000000E+000                  7.1053581588046125E+005 
                                     100                  5.9311389090517719E+002                  1.9859951115161542E-007                  5.0629770645674273E+002                  0.0000000000000000E+000                  7.4762431129727606E+005 
                                     101                  6.0217605301188371E+002                  1.9854965371081999E-007                  5.6180572109871946E+002                  0.0000000000000000E+000                  7.8664895549354726E+005 
                                     102                  6.1137649978797947E+002                  1.9849677484688311E-007                  6.2248564370550901E+002                  0.0000000000000000E+000                  8.2771063345557579E+005 
                                     103                  6.2071691538433856E+002                  1.9844069875159326E-007                  6.8881166594767024E+002                  0.0000000000000000E+000                  8.7091548924254696E+005 
                                     104                  6.3019881930573320E+002                  1.9838123850843242E-007                  7.6126528850164755E+002                  0.0000000000000000E+000                  9.1637519234476937E+005 
                                     105                  6.3982351435347039E+002                  1.9831819614385440E-007                  8.4032572401860921E+002                  0.0000000000000000E+000                  9.6420721528921393E+005 
                                     106                  6.4959226028801186E+002                  1.9825136291080130E-007                  9.2645798357645845E+002                  0.0000000000000000E+000                  1.0145351272418520E+006 
                                     107                  6.5950655136884563E+002                  1.9818051764126229E-007                  1.0200990182607910E+003                  0.0000000000000000E+000                  1.0674889038031190E+006 
                                     108                  6.6956816000511105E+002                  1.9810542539532030E-007                  1.1216600373376464E+003                  0.0000000000000000E+000                  1.1232052521914002E+006 
                                     109                  6.7977898583790181E+002                  1.9802583729539032E-007                  1.2315406757544390E+003                  0.0000000000000000E+000                  1.1818279589670647E+006 
                                     110                  6.9014089461406002E+002                  1.9794149112578216E-007                  1.3501260889363125E+003                  0.0000000000000000E+000                  1.2435082661330262E+006 
