                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                       10000      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21 
                            log_star_age                               luminosity                           conv_mx1_top_r                           center_entropy                        planet_radius_cgs                           planet_age_cgs                          planet_mass_cgs                            Hydrogen_Mass                                 He4_Mass                             Time Step dt                                     mdot                                     T(1)                                  xa(1,1)                                  xa(2,1)                                  xa(3,1)                                  xa(4,1)                                  xa(5,1)                                  xa(6,1)                                  xa(7,1)                                  xa(8,1)                                   height 
                 4.5216949515562455E+000                  1.7511174903968722E-008                  4.7343331499855514E-002                  8.6242651396817962E+000                  3.3311301123855896E+009                  1.0483385555995955E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.7606122939234333E+010                  0.0000000000000000E+000                  3.0371121009971739E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.5760202895349265E+000                  1.7141490773511151E-008                  4.7150587256625409E-002                  8.6169594571300721E+000                  3.3176140260760589E+009                  1.1880286019516445E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.8196201372596218E+010                  0.0000000000000000E+000                  3.0271017351315322E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.6252824359036202E+000                  1.6778736411945063E-008                  4.6959395519679509E-002                  8.6096372327033137E+000                  3.3042037675904675E+009                  1.3307272273019519E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.8802776325974537E+010                  0.0000000000000000E+000                  3.0170617627151842E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.6704352192292085E+000                  1.6423781033270903E-008                  4.6784448791375180E-002                  8.6022959743247220E+000                  3.2908956334814682E+009                  1.4765284728580977E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  2.9438328365838234E+010                  0.0000000000000000E+000                  3.0070387926060619E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.7121940617737401E+000                  1.6075813474876261E-008                  4.6596098967228987E-002                  8.5949328193543160E+000                  3.2776845899585867E+009                  1.6255512587067529E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.0084349790967106E+010                  0.0000000000000000E+000                  2.9970049409125193E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.7510805122136146E+000                  1.5734318337891514E-008                  4.6409230398717069E-002                  8.5875500163056255E+000                  3.2645749039546967E+009                  1.7778172636920354E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.0729447038314396E+010                  0.0000000000000000E+000                  2.9869397553721444E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.7874988213169596E+000                  1.5399380505174817E-008                  4.6223918964185214E-002                  8.5801500844363403E+000                  3.2515719237586379E+009                  1.9333274990309272E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.1393126218115150E+010                  0.0000000000000000E+000                  2.9768498454284395E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.8218053747338478E+000                  1.5070667664613106E-008                  4.6040055008855441E-002                  8.5727284482204489E+000                  3.2386681925110431E+009                  2.0922423166360046E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.2082345150946239E+010                  0.0000000000000000E+000                  2.9667277520784381E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.8542742444793046E+000                  1.4748689380074707E-008                  4.5872253409577152E-002                  8.5652836264456962E+000                  3.2258621188498893E+009                  2.2546589167612578E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.2794015790352509E+010                  0.0000000000000000E+000                  2.9566046523054933E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
                 4.8851328174802076E+000                  1.4433125178255218E-008                  4.5691099623290328E-002                  8.5578149148683718E+000                  3.2131500538368373E+009                  2.4206913840942832E+012                  4.7760000000087797E+028                  1.8865200000427514E+027                  4.5365900850772571E+026                  3.3520434968796516E+010                  0.0000000000000000E+000                  2.9464724844182069E+002                  7.9000000000000015E-001                  2.5540830215261670E-005                  1.8997445916978473E-001                  3.4416106108120402E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  4.0903242835137518E-003                  0.0000000000000000E+000 
