                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     105                                      432                  1.0000000000000000E+000                  2.0000000000000000E-002                  3.0000000000000000E+003                  3.4453955466035677E+002                  2.1577969015949918E+002                  1.8167339196612634E-007                  3.0541008126879232E-001                 -2.0003179454028999E+001                  7.4000000000000021E-001                  2.5540830215261673E-005                  2.3997445916978466E-001                  3.4416106108120397E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  9.0134254923124562E-005                  0.0000000000000000E+000                  6.6699348643112203E-005                  2.3021037015706366E-009                  2.1629919077848318E-005                  3.1020700814106309E-007                  9.0869619463497302E-008                  8.4369688086251933E-007                  1.8923325830693821E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0122810444314512E-005                  2.9578761191231612E-001                  9.0099696952898814E-005                  2.8794850663791094E-001                  1.7799741195942345E+005                  3.4370400417602914E+006                  4.9613349510164053E+012                  6.1361154654035566E-025                  6.1361154654035566E-025                  0.0000000000000000E+000                  2.4550158172967591E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.4674449952000000E+010 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.1577969056379320E+002                  1.8167339196612634E-007                  6.6666666666666663E-001                  0.0000000000000000E+000                  2.0423225910013884E+004 
                                       2                  2.1577969111609573E+002                  1.8167339196597213E-007                  6.6666668031768628E-001                  0.0000000000000000E+000                  2.0423226328210665E+004 
                                       3                  2.1577969277300295E+002                  1.8167339196581794E-007                  6.6666669396870626E-001                  0.0000000000000000E+000                  2.0423227582801057E+004 
                                       4                  2.1577969622489323E+002                  1.8167339196504677E-007                  6.6666676222381127E-001                  0.0000000000000000E+000                  2.0423230196531025E+004 
                                       5                  2.1577970036716252E+002                  1.8167339196389001E-007                  6.6666686460648417E-001                  0.0000000000000000E+000                  2.0423233333007000E+004 
                                       6                  2.1577970589018852E+002                  1.8167339196273323E-007                  6.6666696698917538E-001                  0.0000000000000000E+000                  2.0423237514975037E+004 
                                       7                  2.1577971279397264E+002                  1.8167339196080528E-007                  6.6666713762703489E-001                  0.0000000000000000E+000                  2.0423242742435126E+004 
                                       8                  2.1577972314965075E+002                  1.8167339195887730E-007                  6.6666730826494536E-001                  0.0000000000000000E+000                  2.0423250583625399E+004 
                                       9                  2.1577974386101596E+002                  1.8167339195502145E-007                  6.6666764954091939E-001                  0.0000000000000000E+000                  2.0423266266006329E+004 
                                      10                  2.1577978528378108E+002                  1.8167339194730969E-007                  6.6666833209347942E-001                  0.0000000000000000E+000                  2.0423297630770077E+004 
                                      11                  2.1577988193706219E+002                  1.8167339193188606E-007                  6.6666969720104774E-001                  0.0000000000000000E+000                  2.0423370815226910E+004 
                                      12                  2.1578002001375773E+002                  1.8167339189332706E-007                  6.6667310998425011E-001                  0.0000000000000000E+000                  2.0423475364480510E+004 
                                      13                  2.1578022712967103E+002                  1.8167339185476803E-007                  6.6667652278785450E-001                  0.0000000000000000E+000                  2.0423632188405085E+004 
                                      14                  2.1578064136497608E+002                  1.8167339177764970E-007                  6.6668334845626942E-001                  0.0000000000000000E+000                  2.0423945836431070E+004 
                                      15                  2.1578160793025540E+002                  1.8167339162341241E-007                  6.6669700003792332E-001                  0.0000000000000000E+000                  2.0424677682650115E+004 
