                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                     550                                      392                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.7932630088480516E-004                  1.4883876417764953E-007                  2.0731702036022011E+002                  8.1049803698647043E-008                  2.2098607247982743E-001                 -2.0092076605774423E+001                  7.4000000000000032E-001                  2.5540830215261673E-005                  2.3997445916978466E-001                  3.4416106108120406E-003                  1.0081585468366047E-003                  9.3604466091399777E-003                  2.0994599496976501E-003                  9.0135241630170167E-005                  0.0000000000000000E+000                  6.6700078806326002E-005                  2.3021289028877626E-009                  2.1630155862337947E-005                  3.1021040400250071E-007                  9.0870614220638619E-008                  8.4370611688113960E-007                  1.8923532985886255E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0130806253636207E-005                  2.1619325697239100E-001                  9.0121195676799904E-005                  2.1190999429088908E-001                  1.0955535562134202E+005                  1.0647604788428167E+007                  1.1120969763887879E+013                  1.2540660391851986E-024                  1.2540660391851986E-024                  0.0000000000000000E+000                  5.0176521911425502E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  5.6592062993985937E+003 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.0731702096313171E+002                  8.1049803698647043E-008                  6.6666666666666663E-001                  0.0000000000000000E+000                  3.2791029694171950E+004 
                                       2                  2.0731702367604854E+002                  8.1049794607500111E-008                  6.6666669768495024E-001                  0.0000000000000000E+000                  3.2791033126956820E+004 
                                       3                  2.0731703030762139E+002                  8.1049762788510936E-008                  6.6666680624895769E-001                  0.0000000000000000E+000                  3.2791041518208724E+004 
                                       4                  2.0731704085784517E+002                  8.1049694605096438E-008                  6.6666703888619350E-001                  0.0000000000000000E+000                  3.2791054867927844E+004 
                                       5                  2.0731705442240940E+002                  8.1049603694159518E-008                  6.6666734906933811E-001                  0.0000000000000000E+000                  3.2791072031852731E+004 
                                       6                  2.0731706949413456E+002                  8.1049490055940998E-008                  6.6666773679853164E-001                  0.0000000000000000E+000                  3.2791091102880804E+004 
                                       7                  2.0731709210170303E+002                  8.1049376418227932E-008                  6.6666812452801716E-001                  0.0000000000000000E+000                  3.2791119709423612E+004 
                                       8                  2.0731713731676260E+002                  8.1049149144319285E-008                  6.6666889998786405E-001                  0.0000000000000000E+000                  3.2791176922511630E+004 
                                       9                  2.0731722774657197E+002                  8.1048694602605220E-008                  6.6667045091106181E-001                  0.0000000000000000E+000                  3.2791291348697931E+004 
                                      10                  2.0731743874801560E+002                  8.1047785543752999E-008                  6.6667355277147267E-001                  0.0000000000000000E+000                  3.2791558343180252E+004 
                                      11                  2.0731774017348991E+002                  8.1045513042112999E-008                  6.6668130750425669E-001                  0.0000000000000000E+000                  3.2791939764039162E+004 
                                      12                  2.0731819230396263E+002                  8.1043240756097227E-008                  6.6668906235383718E-001                  0.0000000000000000E+000                  3.2792511895582276E+004 
                                      13                  2.0731909653396099E+002                  8.1038696854206758E-008                  6.6670457240339276E-001                  0.0000000000000000E+000                  3.2793656159687605E+004 
                                      14                  2.0732120625959871E+002                  8.1029611918006893E-008                  6.6673559390411696E-001                  0.0000000000000000E+000                  3.2796326114022500E+004 
                                      15                  2.0732421963840113E+002                  8.1006918491921954E-008                  6.6681315583247547E-001                  0.0000000000000000E+000                  3.2800140351484784E+004 
                                      16                  2.0732873893589141E+002                  8.0984259995687910E-008                  6.6689072944252825E-001                  0.0000000000000000E+000                  3.2805861733151498E+004 
                                      17                  2.0733777446121510E+002                  8.0939071993232515E-008                  6.6704591171278271E-001                  0.0000000000000000E+000                  3.2817304598363706E+004 
                                      18                  2.0735131865228422E+002                  8.0849411809389817E-008                  6.6735641648867461E-001                  0.0000000000000000E+000                  3.2834469201732805E+004 
                                      19                  2.0736635550010419E+002                  8.0739473176889888E-008                  6.6774481049840362E-001                  0.0000000000000000E+000                  3.2853541407450568E+004 
                                      20                  2.0738889335477265E+002                  8.0633069062959764E-008                  6.6813349691732027E-001                  0.0000000000000000E+000                  3.2882150352023316E+004 
                                      21                  2.0743390718022820E+002                  8.0434415493688535E-008                  6.6891174764376393E-001                  0.0000000000000000E+000                  3.2939370783364291E+004 
                                      22                  2.0752378177047333E+002                  8.0122228282763342E-008                  6.7047176545230935E-001                  0.0000000000000000E+000                  3.3053821800545724E+004 
                                      23                  2.0769365772092715E+002                  8.0061462400598938E-008                  6.7360591085495158E-001                  0.0000000000000000E+000                  3.3269406425634326E+004 
                                      24                  2.0805528225727289E+002                  8.3268462973179827E-008                  6.7937453278138016E-001                  0.0000000000000000E+000                  3.3707254123033956E+004 
                                      25                  2.0884228368295979E+002                  1.1124368674895091E-007                  6.9195633160826042E-001                  0.0000000000000000E+000                  3.4408122532165551E+004 
                                      26                  2.1097905501821282E+002                  1.6538634597686386E-007                  7.0946250602046534E-001                  0.0000000000000000E+000                  3.5652326245829485E+004 
                                      27                  2.1412588391449790E+002                  1.6353014028621404E-007                  7.4909314286328055E-001                  0.0000000000000000E+000                  3.7381485668007044E+004 
                                      28                  2.1732725831046540E+002                  1.5650623024468558E-007                  7.9597035676002759E-001                  0.0000000000000000E+000                  3.9201464663656574E+004 
