                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      95                                      430                  1.0000000000000000E+000                  2.0000000000000000E-002                  1.0000000000000000E+003                  1.0639425725378790E+002                  2.2302578281893881E+002                  2.1536731587945052E-007                  3.1127094871886662E-001                 -2.0003478513131213E+001                  7.4000000000000021E-001                  2.5540830215261673E-005                  2.3997445916978466E-001                  3.4416106108120397E-003                  1.0081585468366045E-003                  9.3604466091399777E-003                  2.0994599496976496E-003                  9.0134254923124562E-005                  0.0000000000000000E+000                  6.6699348643112203E-005                  2.3021037015706366E-009                  2.1629919077848318E-005                  3.1020700814106309E-007                  9.0869619463497302E-008                  8.4369688086251933E-007                  1.8923325830693821E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0122157888630490E-005                  3.0099903625862995E-001                  9.0099234883157689E-005                  2.9300905833426960E-001                  1.8314561249794273E+005                  2.8447290011765440E+006                  4.1851408397352280E+012                  6.1008227876814355E-025                  6.1008227876814355E-025                  0.0000000000000000E+000                  2.4408948878258816E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.1558149984000000E+010 

                                       1                                        2                                        3                                        4                                        5                                        6 
                                    zone                              temperature                               luminosity                                      tau                                  extra_L                                 pressure 
                                       1                  2.2302578335597499E+002                  2.1536731587945052E-007                  6.6666666666666663E-001                  0.0000000000000000E+000                  2.0119686497105711E+004 
                                       2                  2.2302578523560214E+002                  2.1536731587877890E-007                  6.6666669235153531E-001                  0.0000000000000000E+000                  2.0119687853630887E+004 
                                       3                  2.2302578859207952E+002                  2.1536731587709973E-007                  6.6666675656371044E-001                  0.0000000000000000E+000                  2.0119690275997295E+004 
                                       4                  2.2302579261985292E+002                  2.1536731587458106E-007                  6.6666685288198246E-001                  0.0000000000000000E+000                  2.0119693182836989E+004 
                                       5                  2.2302579799021765E+002                  2.1536731587206238E-007                  6.6666694920026570E-001                  0.0000000000000000E+000                  2.0119697058623289E+004 
                                       6                  2.2302580470317420E+002                  2.1536731586786459E-007                  6.6666710973076271E-001                  0.0000000000000000E+000                  2.0119701903356257E+004 
                                       7                  2.2302581477261009E+002                  2.1536731586366675E-007                  6.6666727026129069E-001                  0.0000000000000000E+000                  2.0119709170455753E+004 
                                       8                  2.2302583491148638E+002                  2.1536731585527114E-007                  6.6666759132244002E-001                  0.0000000000000000E+000                  2.0119723704655265E+004 
                                       9                  2.2302587518925671E+002                  2.1536731583847993E-007                  6.6666823344511150E-001                  0.0000000000000000E+000                  2.0119752773055792E+004 
                                      10                  2.2302596917080399E+002                  2.1536731580489743E-007                  6.6666951769194582E-001                  0.0000000000000000E+000                  2.0119820599331371E+004 
                                      11                  2.2302610343045322E+002                  2.1536731572094101E-007                  6.6667272831773194E-001                  0.0000000000000000E+000                  2.0119917494037796E+004 
                                      12                  2.2302630482037088E+002                  2.1536731563698434E-007                  6.6667593895594701E-001                  0.0000000000000000E+000                  2.0120062836138070E+004 
                                      13                  2.2302670760198208E+002                  2.1536731546907025E-007                  6.6668236026966332E-001                  0.0000000000000000E+000                  2.0120353520501016E+004 
                                      14                  2.2302764743402810E+002                  2.1536731513323889E-007                  6.6669520304623897E-001                  0.0000000000000000E+000                  2.0121031784772375E+004 
                                      15                  2.2302899008082809E+002                  2.1536731429364239E-007                  6.6672731085765002E-001                  0.0000000000000000E+000                  2.0122000736438036E+004 
